cart_event_id,session_id,item_id,action,cart_state,cart_value,cart_size,label,candidate_category,candidate_price
CE0000001,S000001,I01353,add,I01353,162,1,-1,,
CE0000002,S000001,I01355,add,I01353|I01355,312,2,-1,,
CE0000003,S000001,I01361,csao_reject,I01353|I01355,312,2,0,beverage,62.0
CE0000004,S000001,I01358,csao_accept,I01353|I01355,312,2,1,dessert,75.0
CE0000005,S000001,I01358,add,I01353|I01355|I01358,387,3,-1,,
CE0000006,S000001,I01357,csao_reject,I01353|I01355|I01358,387,3,0,side,100.0
CE0000007,S000001,I01356,csao_reject,I01353|I01355|I01358,387,3,0,side,112.0
CE0000008,S000001,I01359,csao_accept,I01353|I01355|I01358,387,3,1,dessert,125.0
CE0000009,S000001,I01359,add,I01353|I01355|I01358|I01359,512,4,-1,,
CE0000010,S000001,I01360,csao_reject,I01353|I01355|I01358|I01359,512,4,0,beverage,150.0
CE0000011,S000002,I04708,add,I04708,114,1,-1,,
CE0000012,S000002,I04713,csao_accept,I04708,114,1,1,dessert,76.0
CE0000013,S000002,I04713,add,I04708|I04713,190,2,-1,,
CE0000014,S000002,I04715,csao_accept,I04708|I04713,190,2,1,beverage,57.0
CE0000015,S000002,I04715,add,I04708|I04713|I04715,247,3,-1,,
CE0000016,S000002,I04711,csao_reject,I04708|I04713|I04715,247,3,0,side,14.0
CE0000017,S000002,I04712,csao_reject,I04708|I04713|I04715,247,3,0,dessert,47.0
CE0000018,S000002,I04714,csao_reject,I04708|I04713|I04715,247,3,0,beverage,28.0
CE0000019,S000002,I04710,csao_accept,I04708|I04713|I04715,247,3,1,side,19.0
CE0000020,S000002,I04710,add,I04708|I04713|I04715|I04710,266,4,-1,,
CE0000021,S000003,I03326,add,I03326,132,1,-1,,
CE0000022,S000003,I03329,csao_reject,I03326,132,1,0,side,99.0
CE0000023,S000003,I03330,csao_reject,I03326,132,1,0,side,88.0
CE0000024,S000003,I03334,csao_reject,I03326,132,1,0,beverage,55.0
CE0000025,S000003,I03332,csao_reject,I03326,132,1,0,dessert,110.0
CE0000026,S000003,I03331,csao_reject,I03326,132,1,0,dessert,66.0
CE0000027,S000004,I03820,add,I03820,66,1,-1,,
CE0000028,S000004,I03827,csao_reject,I03820,66,1,0,beverage,33.0
CE0000029,S000004,I03826,csao_reject,I03820,66,1,0,beverage,66.0
CE0000030,S000004,I03824,csao_reject,I03820,66,1,0,dessert,55.0
CE0000031,S000004,I03822,csao_reject,I03820,66,1,0,side,16.0
CE0000032,S000005,I02852,add,I02852,200,1,-1,,
CE0000033,S000005,I02858,csao_reject,I02852,200,1,0,beverage,125.0
CE0000034,S000005,I02853,csao_reject,I02852,200,1,0,side,50.0
CE0000035,S000005,I02855,csao_accept,I02852,200,1,1,dessert,225.0
CE0000036,S000005,I02855,add,I02852|I02855,425,2,-1,,
CE0000037,S000005,I02854,csao_reject,I02852|I02855,425,2,0,side,37.0
CE0000038,S000005,I02856,csao_reject,I02852|I02855,425,2,0,dessert,150.0
CE0000039,S000006,I00706,add,I00706,154,1,-1,,
CE0000040,S000006,I00711,csao_accept,I00706,154,1,1,beverage,28.0
CE0000041,S000006,I00711,add,I00706|I00711,182,2,-1,,
CE0000042,S000006,I00712,csao_accept,I00706|I00711,182,2,1,beverage,70.0
CE0000043,S000006,I00712,add,I00706|I00711|I00712,252,3,-1,,
CE0000044,S000006,I00710,csao_accept,I00706|I00711|I00712,252,3,1,dessert,84.0
CE0000045,S000006,I00710,add,I00706|I00711|I00712|I00710,336,4,-1,,
CE0000046,S000006,I00709,csao_accept,I00706|I00711|I00712|I00710,336,4,1,dessert,70.0
CE0000047,S000006,I00709,add,I00706|I00711|I00712|I00710|I00709,406,5,-1,,
CE0000048,S000007,I00588,add,I00588,165,1,-1,,
CE0000049,S000007,I00589,add,I00588|I00589,363,2,-1,,
CE0000050,S000007,I00593,csao_accept,I00588|I00589,363,2,1,dessert,132.0
CE0000051,S000007,I00593,add,I00588|I00589|I00593,495,3,-1,,
CE0000052,S000007,I00592,csao_accept,I00588|I00589|I00593,495,3,1,side,33.0
CE0000053,S000007,I00592,add,I00588|I00589|I00593|I00592,528,4,-1,,
CE0000054,S000007,I00591,csao_accept,I00588|I00589|I00593|I00592,528,4,1,side,44.0
CE0000055,S000007,I00591,add,I00588|I00589|I00593|I00592|I00591,572,5,-1,,
CE0000056,S000007,I00596,csao_reject,I00588|I00589|I00593|I00592|I00591,572,5,0,beverage,110.0
CE0000057,S000007,I00595,csao_reject,I00588|I00589|I00593|I00592|I00591,572,5,0,beverage,143.0
CE0000058,S000007,I00594,csao_reject,I00588|I00589|I00593|I00592|I00591,572,5,0,dessert,198.0
CE0000059,S000008,I03483,add,I03483,110,1,-1,,
CE0000060,S000008,I03481,add,I03483|I03481,242,2,-1,,
CE0000061,S000008,I03490,csao_accept,I03483|I03481,242,2,1,beverage,55.0
CE0000062,S000008,I03490,add,I03483|I03481|I03490,297,3,-1,,
CE0000063,S000008,I03485,csao_reject,I03483|I03481|I03490,297,3,0,side,88.0
CE0000064,S000008,I03487,csao_accept,I03483|I03481|I03490,297,3,1,dessert,66.0
CE0000065,S000008,I03487,add,I03483|I03481|I03490|I03487,363,4,-1,,
CE0000066,S000008,I03489,csao_reject,I03483|I03481|I03490|I03487,363,4,0,beverage,132.0
CE0000067,S000009,I05294,add,I05294,110,1,-1,,
CE0000068,S000009,I05297,csao_reject,I05294,110,1,0,side,99.0
CE0000069,S000009,I05301,csao_reject,I05294,110,1,0,beverage,132.0
CE0000070,S000009,I05298,csao_reject,I05294,110,1,0,dessert,110.0
CE0000071,S000009,I05299,csao_reject,I05294,110,1,0,dessert,66.0
CE0000072,S000009,I05296,csao_accept,I05294,110,1,1,side,88.0
CE0000073,S000009,I05296,add,I05294|I05296,198,2,-1,,
CE0000074,S000009,I05300,csao_reject,I05294|I05296,198,2,0,beverage,55.0
CE0000075,S000010,I06453,add,I06453,162,1,-1,,
CE0000076,S000010,I06457,csao_accept,I06453,162,1,1,dessert,62.0
CE0000077,S000010,I06457,add,I06453|I06457,224,2,-1,,
CE0000078,S000010,I06456,csao_reject,I06453|I06457,224,2,0,side,25.0
CE0000079,S000010,I06458,csao_reject,I06453|I06457,224,2,0,dessert,100.0
CE0000080,S000010,I06455,csao_reject,I06453|I06457,224,2,0,side,18.0
CE0000081,S000010,I06460,csao_accept,I06453|I06457,224,2,1,beverage,75.0
CE0000082,S000010,I06460,add,I06453|I06457|I06460,299,3,-1,,
CE0000083,S000010,I06459,csao_reject,I06453|I06457|I06460,299,3,0,beverage,37.0
CE0000084,S000011,I07839,add,I07839,250,1,-1,,
CE0000085,S000011,I07838,add,I07839|I07838,475,2,-1,,
CE0000086,S000011,I07847,csao_accept,I07839|I07838,475,2,1,beverage,50.0
CE0000087,S000011,I07847,add,I07839|I07838|I07847,525,3,-1,,
CE0000088,S000011,I07844,csao_accept,I07839|I07838|I07847,525,3,1,dessert,125.0
CE0000089,S000011,I07844,add,I07839|I07838|I07847|I07844,650,4,-1,,
CE0000090,S000011,I07843,csao_accept,I07839|I07838|I07847|I07844,650,4,1,side,137.0
CE0000091,S000011,I07843,add,I07839|I07838|I07847|I07844|I07843,787,5,-1,,
CE0000092,S000011,I07841,csao_accept,I07839|I07838|I07847|I07844|I07843,787,5,1,side,150.0
CE0000093,S000011,I07841,add,I07839|I07838|I07847|I07844|I07843|I07841,937,6,-1,,
CE0000094,S000011,I07846,csao_accept,I07839|I07838|I07847|I07844|I07843|I07841,937,6,1,beverage,62.0
CE0000095,S000011,I07846,add,I07839|I07838|I07847|I07844|I07843|I07841|I07846,999,7,-1,,
CE0000096,S000011,I07845,csao_accept,I07839|I07838|I07847|I07844|I07843|I07841|I07846,999,7,1,dessert,100.0
CE0000097,S000011,I07845,add,I07839|I07838|I07847|I07844|I07843|I07841|I07846|I07845,1099,8,-1,,
CE0000098,S000012,I02742,add,I02742,110,1,-1,,
CE0000099,S000012,I02745,csao_accept,I02742,110,1,1,side,88.0
CE0000100,S000012,I02745,add,I02742|I02745,198,2,-1,,
CE0000101,S000012,I02749,csao_reject,I02742|I02745,198,2,0,beverage,132.0
CE0000102,S000012,I02747,csao_reject,I02742|I02745,198,2,0,dessert,66.0
CE0000103,S000012,I02746,csao_reject,I02742|I02745,198,2,0,dessert,110.0
CE0000104,S000012,I02744,csao_reject,I02742|I02745,198,2,0,side,99.0
CE0000105,S000012,I02748,csao_reject,I02742|I02745,198,2,0,beverage,55.0
CE0000106,S000013,I04651,add,I04651,171,1,-1,,
CE0000107,S000013,I04655,csao_reject,I04651,171,1,0,side,76.0
CE0000108,S000013,I04659,csao_reject,I04651,171,1,0,beverage,114.0
CE0000109,S000013,I04658,csao_accept,I04651,171,1,1,dessert,57.0
CE0000110,S000013,I04658,add,I04651|I04658,228,2,-1,,
CE0000111,S000013,I04660,csao_reject,I04651|I04658,228,2,0,beverage,47.0
CE0000112,S000014,I06536,add,I06536,132,1,-1,,
CE0000113,S000014,I06533,add,I06536|I06533,209,2,-1,,
CE0000114,S000014,I06541,csao_reject,I06536|I06533,209,2,0,dessert,66.0
CE0000115,S000014,I06537,csao_reject,I06536|I06533,209,2,0,side,44.0
CE0000116,S000014,I06538,csao_accept,I06536|I06533,209,2,1,side,33.0
CE0000117,S000014,I06538,add,I06536|I06533|I06538,242,3,-1,,
CE0000118,S000014,I06540,csao_reject,I06536|I06533|I06538,242,3,0,dessert,55.0
CE0000119,S000014,I06543,csao_reject,I06536|I06533|I06538,242,3,0,beverage,44.0
CE0000120,S000014,I06542,csao_reject,I06536|I06533|I06538,242,3,0,beverage,38.0
CE0000121,S000014,I06539,csao_reject,I06536|I06533|I06538,242,3,0,side,33.0
CE0000122,S000015,I05647,add,I05647,176,1,-1,,
CE0000123,S000015,I05655,csao_reject,I05647,176,1,0,beverage,143.0
CE0000124,S000015,I05654,csao_reject,I05647,176,1,0,beverage,110.0
CE0000125,S000015,I05652,csao_reject,I05647,176,1,0,dessert,198.0
CE0000126,S000015,I05651,csao_accept,I05647,176,1,1,side,44.0
CE0000127,S000015,I05651,add,I05647|I05651,220,2,-1,,
CE0000128,S000016,I00071,add,I00071,286,1,-1,,
CE0000129,S000016,I00074,add,I00071|I00074,473,2,-1,,
CE0000130,S000016,I00079,csao_accept,I00071|I00074,473,2,1,dessert,88.0
CE0000131,S000016,I00079,add,I00071|I00074|I00079,561,3,-1,,
CE0000132,S000016,I00075,csao_reject,I00071|I00074|I00079,561,3,0,side,99.0
CE0000133,S000016,I00081,csao_accept,I00071|I00074|I00079,561,3,1,beverage,44.0
CE0000134,S000016,I00081,add,I00071|I00074|I00079|I00081,605,4,-1,,
CE0000135,S000016,I00077,csao_reject,I00071|I00074|I00079|I00081,605,4,0,side,132.0
CE0000136,S000017,I05305,add,I05305,308,1,-1,,
CE0000137,S000017,I05304,add,I05305|I05304,385,2,-1,,
CE0000138,S000017,I05306,csao_reject,I05305|I05304,385,2,0,side,44.0
