cart_event_id,session_id,item_id,action,cart_state,cart_value,cart_size,label,candidate_category,candidate_price,user_id,restaurant_id,timestamp,city,device,meal_time,is_weekend,day_of_week,cart_item_count,cart_has_main,cart_has_side,cart_has_dessert,cart_has_beverage,cart_category_diversity,meal_complete,meal_breakfast,meal_lunch,meal_snack,meal_dinner,meal_late_night,device_mobile,device_web,device_tablet,is_weekend_int,category,price,is_veg,actual_attach_rate,is_main,is_side,is_dessert,is_beverage,price_diff_from_cart_avg,candidate_is_side,candidate_is_dessert,candidate_is_beverage
CE0000003,S000001,I01361,csao_reject,I01353|I01355,312,2,0,beverage,62.0,U01578,R0136,2026-01-06 11:13:31,Chennai,mobile,lunch,False,Tuesday,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,beverage,62,1,0.4,0,0,0,1,-94.0,0,0,1
CE0000004,S000001,I01358,csao_accept,I01353|I01355,312,2,1,dessert,75.0,U01578,R0136,2026-01-06 11:13:31,Chennai,mobile,lunch,False,Tuesday,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,dessert,75,1,0.2,0,0,1,0,-81.0,0,1,0
CE0000006,S000001,I01357,csao_reject,I01353|I01355|I01358,387,3,0,side,100.0,U01578,R0136,2026-01-06 11:13:31,Chennai,mobile,lunch,False,Tuesday,3,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,side,100,1,0.2,0,1,0,0,-29.0,1,0,0
CE0000007,S000001,I01356,csao_reject,I01353|I01355|I01358,387,3,0,side,112.0,U01578,R0136,2026-01-06 11:13:31,Chennai,mobile,lunch,False,Tuesday,3,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,side,112,1,0.2,0,1,0,0,-17.0,1,0,0
CE0000008,S000001,I01359,csao_accept,I01353|I01355|I01358,387,3,1,dessert,125.0,U01578,R0136,2026-01-06 11:13:31,Chennai,mobile,lunch,False,Tuesday,3,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,dessert,125,1,0.3333333333333333,0,0,1,0,-4.0,0,1,0
CE0000010,S000001,I01360,csao_reject,I01353|I01355|I01358|I01359,512,4,0,beverage,150.0,U01578,R0136,2026-01-06 11:13:31,Chennai,mobile,lunch,False,Tuesday,4,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,beverage,150,1,0.16666666666666666,0,0,0,1,22.0,0,0,1
CE0000012,S000002,I04713,csao_accept,I04708,114,1,1,dessert,76.0,U01845,R0474,2025-12-02 20:48:31,Mumbai,tablet,dinner,False,Tuesday,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,dessert,76,1,0.4666666666666667,0,0,1,0,-38.0,0,1,0
CE0000014,S000002,I04715,csao_accept,I04708|I04713,190,2,1,beverage,57.0,U01845,R0474,2025-12-02 20:48:31,Mumbai,tablet,dinner,False,Tuesday,2,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,beverage,57,1,0.35714285714285715,0,0,0,1,-38.0,0,0,1
CE0000016,S000002,I04711,csao_reject,I04708|I04713|I04715,247,3,0,side,14.0,U01845,R0474,2025-12-02 20:48:31,Mumbai,tablet,dinner,False,Tuesday,3,1,0,1,1,3,1,0,0,0,1,0,0,0,1,0,side,14,1,0.35294117647058826,0,1,0,0,-68.33333333333333,1,0,0
CE0000017,S000002,I04712,csao_reject,I04708|I04713|I04715,247,3,0,dessert,47.0,U01845,R0474,2025-12-02 20:48:31,Mumbai,tablet,dinner,False,Tuesday,3,1,0,1,1,3,1,0,0,0,1,0,0,0,1,0,dessert,47,1,0.4,0,0,1,0,-35.33333333333333,0,1,0
CE0000018,S000002,I04714,csao_reject,I04708|I04713|I04715,247,3,0,beverage,28.0,U01845,R0474,2025-12-02 20:48:31,Mumbai,tablet,dinner,False,Tuesday,3,1,0,1,1,3,1,0,0,0,1,0,0,0,1,0,beverage,28,1,0.35294117647058826,0,0,0,1,-54.33333333333333,0,0,1
CE0000019,S000002,I04710,csao_accept,I04708|I04713|I04715,247,3,1,side,19.0,U01845,R0474,2025-12-02 20:48:31,Mumbai,tablet,dinner,False,Tuesday,3,1,0,1,1,3,1,0,0,0,1,0,0,0,1,0,side,19,1,0.6428571428571429,0,1,0,0,-63.33333333333333,1,0,0
CE0000022,S000003,I03329,csao_reject,I03326,132,1,0,side,99.0,U04313,R0334,2026-02-25 06:47:31,Chennai,mobile,breakfast,False,Wednesday,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,side,99,1,0.4,0,1,0,0,-33.0,1,0,0
CE0000023,S000003,I03330,csao_reject,I03326,132,1,0,side,88.0,U04313,R0334,2026-02-25 06:47:31,Chennai,mobile,breakfast,False,Wednesday,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,side,88,1,0.4,0,1,0,0,-44.0,1,0,0
CE0000024,S000003,I03334,csao_reject,I03326,132,1,0,beverage,55.0,U04313,R0334,2026-02-25 06:47:31,Chennai,mobile,breakfast,False,Wednesday,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,beverage,55,1,0.3,0,0,0,1,-77.0,0,0,1
CE0000025,S000003,I03332,csao_reject,I03326,132,1,0,dessert,110.0,U04313,R0334,2026-02-25 06:47:31,Chennai,mobile,breakfast,False,Wednesday,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,dessert,110,1,0.3333333333333333,0,0,1,0,-22.0,0,1,0
CE0000026,S000003,I03331,csao_reject,I03326,132,1,0,dessert,66.0,U04313,R0334,2026-02-25 06:47:31,Chennai,mobile,breakfast,False,Wednesday,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,dessert,66,1,0.3333333333333333,0,0,1,0,-66.0,0,1,0
CE0000028,S000004,I03827,csao_reject,I03820,66,1,0,beverage,33.0,U02141,R0384,2025-12-20 06:57:31,Delhi,mobile,breakfast,True,Saturday,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,beverage,33,1,0.4117647058823529,0,0,0,1,-33.0,0,0,1
CE0000029,S000004,I03826,csao_reject,I03820,66,1,0,beverage,66.0,U02141,R0384,2025-12-20 06:57:31,Delhi,mobile,breakfast,True,Saturday,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,beverage,66,1,0.5333333333333333,0,0,0,1,0.0,0,0,1
CE0000030,S000004,I03824,csao_reject,I03820,66,1,0,dessert,55.0,U02141,R0384,2025-12-20 06:57:31,Delhi,mobile,breakfast,True,Saturday,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,dessert,55,1,0.35714285714285715,0,0,1,0,-11.0,0,1,0
CE0000031,S000004,I03822,csao_reject,I03820,66,1,0,side,16.0,U02141,R0384,2025-12-20 06:57:31,Delhi,mobile,breakfast,True,Saturday,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,side,16,1,0.4375,0,1,0,0,-50.0,1,0,0
CE0000033,S000005,I02858,csao_reject,I02852,200,1,0,beverage,125.0,U01020,R0287,2026-01-26 09:36:31,Kolkata,web,breakfast,False,Monday,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,beverage,125,1,0.5,0,0,0,1,-75.0,0,0,1
CE0000034,S000005,I02853,csao_reject,I02852,200,1,0,side,50.0,U01020,R0287,2026-01-26 09:36:31,Kolkata,web,breakfast,False,Monday,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,side,50,1,0.36363636363636365,0,1,0,0,-150.0,1,0,0
CE0000035,S000005,I02855,csao_accept,I02852,200,1,1,dessert,225.0,U01020,R0287,2026-01-26 09:36:31,Kolkata,web,breakfast,False,Monday,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,dessert,225,1,0.6,0,0,1,0,25.0,0,1,0
CE0000037,S000005,I02854,csao_reject,I02852|I02855,425,2,0,side,37.0,U01020,R0287,2026-01-26 09:36:31,Kolkata,web,breakfast,False,Monday,2,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,side,37,1,0.5,0,1,0,0,-175.5,1,0,0
CE0000038,S000005,I02856,csao_reject,I02852|I02855,425,2,0,dessert,150.0,U01020,R0287,2026-01-26 09:36:31,Kolkata,web,breakfast,False,Monday,2,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,dessert,150,1,0.3,0,0,1,0,-62.5,0,1,0
CE0000040,S000006,I00711,csao_accept,I00706,154,1,1,beverage,28.0,U00061,R0071,2026-01-28 10:47:31,Delhi,mobile,breakfast,False,Wednesday,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,beverage,28,1,0.2857142857142857,0,0,0,1,-126.0,0,0,1
CE0000042,S000006,I00712,csao_accept,I00706|I00711,182,2,1,beverage,70.0,U00061,R0071,2026-01-28 10:47:31,Delhi,mobile,breakfast,False,Wednesday,2,1,0,0,1,2,0,1,0,0,0,0,1,0,0,0,beverage,70,1,0.35714285714285715,0,0,0,1,-21.0,0,0,1
CE0000044,S000006,I00710,csao_accept,I00706|I00711|I00712,252,3,1,dessert,84.0,U00061,R0071,2026-01-28 10:47:31,Delhi,mobile,breakfast,False,Wednesday,3,1,0,0,1,2,0,1,0,0,0,0,1,0,0,0,dessert,84,1,0.5384615384615384,0,0,1,0,0.0,0,1,0
CE0000046,S000006,I00709,csao_accept,I00706|I00711|I00712|I00710,336,4,1,dessert,70.0,U00061,R0071,2026-01-28 10:47:31,Delhi,mobile,breakfast,False,Wednesday,4,1,0,1,1,3,1,1,0,0,0,0,1,0,0,0,dessert,70,1,0.42857142857142855,0,0,1,0,-14.0,0,1,0
CE0000050,S000007,I00593,csao_accept,I00588|I00589,363,2,1,dessert,132.0,U02465,R0059,2026-01-27 08:34:31,Kolkata,web,breakfast,False,Tuesday,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,dessert,132,1,0.5,0,0,1,0,-49.5,0,1,0
CE0000052,S000007,I00592,csao_accept,I00588|I00589|I00593,495,3,1,side,33.0,U02465,R0059,2026-01-27 08:34:31,Kolkata,web,breakfast,False,Tuesday,3,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,side,33,1,0.5384615384615384,0,1,0,0,-132.0,1,0,0
CE0000054,S000007,I00591,csao_accept,I00588|I00589|I00593|I00592,528,4,1,side,44.0,U02465,R0059,2026-01-27 08:34:31,Kolkata,web,breakfast,False,Tuesday,4,1,1,1,0,3,1,1,0,0,0,0,0,1,0,0,side,44,1,0.4,0,1,0,0,-88.0,1,0,0
