item_id,restaurant_id,name,category,veg_flag,price,description,tags,historical_attach_rate
I00001,R0001,Chicken Chettinad,main,non-veg,392,Spicy Chettinad chicken,main|non-veg|South Indian|popular,0.0
I00002,R0001,Masala Dosa,main,veg,168,Crispy crepe with potato filling,main|veg|South Indian|popular,0.0
I00003,R0001,Tomato Chutney,side,veg,42,Tangy tomato chutney,side|veg|South Indian,0.392
I00004,R0001,Coconut Chutney,side,veg,42,Fresh coconut chutney,side|veg|South Indian,0.203
I00005,R0001,Kesari,dessert,veg,70,Semolina sweet,dessert|veg|South Indian,0.343
I00006,R0001,Payasam,dessert,veg,84,Sweet milk pudding,dessert|veg|South Indian,0.304
I00007,R0001,Buttermilk,beverage,veg,49,Spiced yogurt drink,beverage|veg|South Indian,0.235
I00008,R0001,Filter Coffee,beverage,veg,56,South Indian filter coffee,beverage|veg|South Indian,0.185
I00009,R0002,Sandwich,main,veg,110,Grilled sandwich,main|veg|Fast Food|popular,0.0
I00010,R0002,Veg Wrap,main,veg,143,Vegetable stuffed wrap,main|veg|Fast Food|popular,0.0
I00011,R0002,Chicken Wrap,main,non-veg,198,Chicken stuffed wrap,main|non-veg|Fast Food|popular,0.0
I00012,R0002,Frankie,main,veg,132,Stuffed roll,main|veg|Fast Food|popular,0.0
I00013,R0002,Onion Rings,side,veg,99,Crispy onion rings,side|veg|Fast Food,0.159
I00014,R0002,Fries,side,veg,88,Crispy fries,side|veg|Fast Food,0.327
I00015,R0002,Brownie,dessert,veg,110,Chocolate brownie,dessert|veg|Fast Food,0.194
I00016,R0002,Ice Cream,dessert,veg,66,Vanilla ice cream,dessert|veg|Fast Food,0.189
I00017,R0002,Soft Drink,beverage,veg,55,Refreshing beverage,beverage|veg|Fast Food,0.292
I00018,R0002,Cold Coffee,beverage,veg,132,Iced coffee,beverage|veg|Fast Food,0.161
I00019,R0003,Veg Wrap,main,veg,143,Vegetable stuffed wrap,main|veg|Italian|popular,0.0
I00020,R0003,Frankie,main,veg,132,Stuffed roll,main|veg|Italian|popular,0.0
I00021,R0003,Chicken Wrap,main,non-veg,198,Chicken stuffed wrap,main|non-veg|Italian|popular,0.0
I00022,R0003,Sandwich,main,veg,110,Grilled sandwich,main|veg|Italian|popular,0.0
I00023,R0003,Fries,side,veg,88,Crispy fries,side|veg|Italian,0.114
I00024,R0003,Onion Rings,side,veg,99,Crispy onion rings,side|veg|Italian,0.175
I00025,R0003,Brownie,dessert,veg,110,Chocolate brownie,dessert|veg|Italian,0.169
I00026,R0003,Ice Cream,dessert,veg,66,Vanilla ice cream,dessert|veg|Italian,0.321
I00027,R0003,Soft Drink,beverage,veg,55,Refreshing beverage,beverage|veg|Italian,0.148
I00028,R0003,Cold Coffee,beverage,veg,132,Iced coffee,beverage|veg|Italian,0.396
I00029,R0004,Frankie,main,veg,114,Stuffed roll,main|veg|Fast Food|popular,0.0
I00030,R0004,Chicken Wrap,main,non-veg,171,Chicken stuffed wrap,main|non-veg|Fast Food|popular,0.0
I00031,R0004,Sandwich,main,veg,95,Grilled sandwich,main|veg|Fast Food|popular,0.0
I00032,R0004,Veg Wrap,main,veg,123,Vegetable stuffed wrap,main|veg|Fast Food|popular,0.0
I00033,R0004,Onion Rings,side,veg,85,Crispy onion rings,side|veg|Fast Food,0.313
I00034,R0004,Fries,side,veg,76,Crispy fries,side|veg|Fast Food,0.26
I00035,R0004,Brownie,dessert,veg,95,Chocolate brownie,dessert|veg|Fast Food,0.196
I00036,R0004,Ice Cream,dessert,veg,57,Vanilla ice cream,dessert|veg|Fast Food,0.309
I00037,R0004,Cold Coffee,beverage,veg,114,Iced coffee,beverage|veg|Fast Food,0.317
I00038,R0004,Soft Drink,beverage,veg,47,Refreshing beverage,beverage|veg|Fast Food,0.139
I00039,R0005,Chilli Chicken,main,non-veg,286,Spicy chicken preparation,main|non-veg|Chinese|popular,0.0
I00040,R0005,Hakka Noodles,main,veg,187,Stir-fried noodles,main|veg|Chinese|popular,0.0
I00041,R0005,Fried Rice,main,veg,198,Stir-fried rice with vegetables,main|veg|Chinese|popular,0.0
I00042,R0005,Manchurian,main,veg,220,Vegetable balls in gravy,main|veg|Chinese|popular,0.0
I00043,R0005,Chilli Potato,side,veg,121,Spicy potato fingers,side|veg|Chinese,0.267
