session_id,user_id,restaurant_id,timestamp,city,device,meal_time,is_weekend,day_of_week
S000001,U01578,R0136,2026-01-06 11:13:31,Chennai,mobile,lunch,False,Tuesday
S000002,U01845,R0474,2025-12-02 20:48:31,Mumbai,tablet,dinner,False,Tuesday
S000003,U04313,R0334,2026-02-25 06:47:31,Chennai,mobile,breakfast,False,Wednesday
S000004,U02141,R0384,2025-12-20 06:57:31,Delhi,mobile,breakfast,True,Saturday
S000005,U01020,R0287,2026-01-26 09:36:31,Kolkata,web,breakfast,False,Monday
S000006,U00061,R0071,2026-01-28 10:47:31,Delhi,mobile,breakfast,False,Wednesday
S000007,U02465,R0059,2026-01-27 08:34:31,Kolkata,web,breakfast,False,Tuesday
S000008,U01744,R0351,2026-01-17 15:45:31,Chennai,tablet,snack,True,Saturday
S000009,U03908,R0534,2025-11-30 20:56:31,Chennai,web,dinner,True,Sunday
S000010,U02722,R0653,2026-01-28 19:27:31,Chennai,mobile,dinner,False,Wednesday
S000011,U02296,R0793,2026-01-08 11:37:31,Mumbai,web,lunch,False,Thursday
S000012,U02162,R0276,2025-12-11 07:16:31,Bangalore,mobile,breakfast,False,Thursday
S000013,U00708,R0468,2025-12-26 18:59:31,Kolkata,mobile,dinner,False,Friday
S000014,U00945,R0661,2025-12-19 04:57:31,Mumbai,mobile,late_night,False,Friday
S000015,U03867,R0571,2026-01-13 12:15:31,Pune,mobile,lunch,False,Tuesday
S000016,U04676,R0008,2026-02-06 06:25:31,Mumbai,mobile,breakfast,False,Friday
S000017,U04976,R0535,2025-12-09 16:19:31,Mumbai,mobile,snack,False,Tuesday
S000018,U03036,R0497,2026-01-29 22:37:31,Chennai,web,late_night,False,Thursday
S000019,U04720,R0133,2025-12-20 10:33:31,Hyderabad,web,breakfast,True,Saturday
S000020,U00096,R0058,2026-02-20 14:24:31,Delhi,mobile,lunch,False,Friday
S000021,U01662,R0688,2025-12-16 05:13:31,Chennai,mobile,late_night,False,Tuesday
S000022,U03694,R0135,2026-02-02 13:13:31,Mumbai,web,lunch,False,Monday
S000023,U01836,R0778,2026-01-05 13:03:31,Chennai,web,lunch,False,Monday
S000024,U01438,R0792,2026-02-05 13:31:31,Bangalore,mobile,lunch,False,Thursday
S000025,U02207,R0613,2025-12-31 22:58:31,Kolkata,mobile,late_night,False,Wednesday
S000026,U04472,R0531,2026-01-30 22:44:31,Delhi,mobile,late_night,False,Friday
S000027,U02127,R0143,2026-01-25 08:31:31,Chennai,mobile,breakfast,True,Sunday
S000028,U04192,R0097,2026-01-06 19:10:31,Chennai,web,dinner,False,Tuesday
S000029,U00128,R0734,2025-12-25 10:53:31,Kolkata,tablet,breakfast,False,Thursday
S000030,U02004,R0030,2026-01-09 10:45:31,Mumbai,mobile,breakfast,False,Friday
S000031,U01611,R0562,2026-02-23 21:24:31,Pune,mobile,dinner,False,Monday
S000032,U03746,R0117,2025-12-12 12:20:31,Delhi,tablet,lunch,False,Friday
S000033,U02386,R0770,2026-02-10 22:05:31,Pune,web,late_night,False,Tuesday
S000034,U04683,R0578,2026-02-22 12:54:31,Hyderabad,mobile,lunch,True,Sunday
S000035,U04964,R0311,2026-02-05 19:04:31,Bangalore,mobile,dinner,False,Thursday
S000036,U00514,R0547,2026-01-03 10:30:31,Bangalore,mobile,breakfast,True,Saturday
S000037,U03634,R0739,2026-02-09 20:31:31,Mumbai,mobile,dinner,False,Monday
S000038,U04397,R0178,2025-12-19 10:37:31,Kolkata,tablet,breakfast,False,Friday
S000039,U00653,R0457,2026-01-19 08:35:31,Delhi,web,breakfast,False,Monday
S000040,U01911,R0165,2026-01-16 14:01:31,Kolkata,web,lunch,False,Friday
S000041,U02980,R0555,2025-12-01 10:55:31,Bangalore,mobile,breakfast,False,Monday
S000042,U04797,R0027,2025-12-30 18:22:31,Bangalore,web,dinner,False,Tuesday
S000043,U04570,R0623,2026-01-24 19:48:31,Mumbai,mobile,dinner,True,Saturday
S000044,U02128,R0214,2026-02-19 07:27:31,Delhi,web,breakfast,False,Thursday
S000045,U03231,R0223,2025-12-10 00:15:31,Delhi,mobile,late_night,False,Wednesday
S000046,U04871,R0333,2026-01-14 11:08:31,Pune,web,lunch,False,Wednesday
S000047,U02726,R0259,2025-12-06 07:26:31,Delhi,mobile,breakfast,True,Saturday
S000048,U03471,R0140,2025-12-17 07:08:31,Kolkata,web,breakfast,False,Wednesday
